"ACP.spec_early","ACP.spec_late","Echo1_early","Echo1_late","Echo2_early","Echo2_late","NACP.spec_early","NACP.spec_late"
NA,NA,"AT5G54850","AT2G45220",NA,NA,NA,NA
NA,NA,"AT4G17500","AT1G57650",NA,NA,NA,NA
NA,NA,"AT5G38895","AT1G30850",NA,NA,NA,NA
NA,NA,"AT4G35310","AT5G45480",NA,NA,NA,NA
NA,NA,"AT1G79920","AT4G19006",NA,NA,NA,NA
NA,NA,"AT1G29290","AT1G17500",NA,NA,NA,NA
NA,NA,"AT1G30620","AT3G48890",NA,NA,NA,NA
NA,NA,"AT3G52430","AT1G05350",NA,NA,NA,NA
NA,NA,"AT2G45760","AT3G13782",NA,NA,NA,NA
NA,NA,"AT3G13100","AT1G10140",NA,NA,NA,NA
NA,NA,"AT3G63310","AT3G51660",NA,NA,NA,NA
NA,NA,"AT3G50470","AT1G55790",NA,NA,NA,NA
NA,NA,"AT1G13340","AT1G14330",NA,NA,NA,NA
NA,NA,"AT1G73805","AT5G52800",NA,NA,NA,NA
NA,NA,"AT1G23200","AT4G11890",NA,NA,NA,NA
NA,NA,"AT2G20560","AT3G48020",NA,NA,NA,NA
NA,NA,"AT4G28480","AT3G26340",NA,NA,NA,NA
NA,NA,"AT5G59570","AT1G29330",NA,NA,NA,NA
NA,NA,"AT1G14540","AT5G11860",NA,NA,NA,NA
NA,NA,"AT1G62422","AT1G44130",NA,NA,NA,NA
NA,NA,"AT5G22630","AT5G44480",NA,NA,NA,NA
NA,NA,"AT1G72890","AT3G05500",NA,NA,NA,NA
NA,NA,"AT5G58110","AT5G63880",NA,NA,NA,NA
NA,NA,"AT4G35480","AT1G10410",NA,NA,NA,NA
NA,NA,"AT3G54100","AT5G51640",NA,NA,NA,NA
NA,NA,"AT4G05030","AT2G04400",NA,NA,NA,NA
NA,NA,"AT2G41160","AT5G62480",NA,NA,NA,NA
NA,NA,"AT5G61510","AT1G74350",NA,NA,NA,NA
